FRXAPA01,"M.S. Zisman, LBNL, Berkeley, California","Neutrino Factories and Beta Beams",
WEPLS021,"L. Serafini, INFN-Milano, Milano; D. Alesini, INFN/LNF, Frascati (Roma); F. Alessandria, INFN/LASA, Segrate (MI); A. Bacci, INFN-Milano, Milano; W. Baldeschi, A. Barbini, CNR/IPP, Pisa; M. Bellaveglia, S. Bertolucci, R. Boni, INFN/LNF, Frascati (Roma); R. Bonifacio, INFN-Milano, Milano; M. Boscolo, INFN/LNF, Frascati (Roma); U. Bottigli, INFN-Cagliari, Monserrato (Cagliari); F. Broggi, INFN/LASA, Segrate (MI); M. Castellano, INFN/LNF, Frascati (Roma); C.A. Cecchetti, UNIPI, Pisa; A. Clozza, INFN/LNF, Frascati (Roma); M. Cola, INFN-Milano, Milano; C. De Martinis, INFN/LASA, Segrate (MI); G. Di Pirro, A. Drago, A. Esposito, M. Ferrario, L. Ficcadenti, D. Filippetto, V. Fusco, INFN/LNF, Frascati (Roma); M. Galimberti, CNR/IPP, Pisa; A. Gallo, G. Gatti, A. Ghigo, INFN/LNF, Frascati (Roma); D. Giove, INFN/LASA, Segrate (MI); A. Giulietti, CNR/IPP, Pisa; D. Giulietti, UNIPI, Pisa; A. Gizzi, CNR/IPP, Pisa; B. Golosio, INFN-Cagliari, Monserrato (Cagliari); M. Incurvati, INFN/LNF, Frascati (Roma); P. Koester, L. Labate, S. Laville, CNR/IPP, Pisa; D. Levi, Università di Roma I La Sapienza, Roma; C. Ligi, F. Marcellini, INFN/LNF, Frascati (Roma); C. Maroli, INFN-Milano, Milano; M. Mattioli, Università di Roma I La Sapienza, Roma; M. Mauri, INFN/LASA, Segrate (MI); G. Medici, Università di Roma I La Sapienza, Roma; M. Migliorati, A. Mostacci, INFN/LNF, Frascati (Roma); P. Musumeci, INFN-Roma, Roma; P.N. Oliva, INFN-Cagliari, Monserrato (Cagliari); L. Palumbo, L. Pellegrino, INFN/LNF, Frascati (Roma); D. Pelliccia, M. Petrarca, Università di Roma I La Sapienza, Roma; V. Petrillo, N. Piovella, INFN-Milano, Milano; A. Poggiu, INFN-Cagliari, Monserrato (Cagliari); R. Pozzoli, INFN-Milano, Milano; M.A. Preger, R. Ricci, INFN/LNF, Frascati (Roma); M. Rome, A.R. Rossi, INFN-Milano, Milano; A. Rossi, CNR/IPP, Pisa; C. Sanelli, M. Serio, F. Sgamma, B. Spataro, A. Stecchi, A. Stella, INFN/LNF, Frascati (Roma); S. Stumbo, INFN-Cagliari, Monserrato (Cagliari); F. Tazzioli, INFN/LNF, Frascati (Roma); P. Tomassini, CNR/IPP, Pisa; C. Vaccarezza, M. Vescovi, C. Vicario, INFN/LNF, Frascati (Roma); L. Volpe, INFN-Milano, Milano","The PLASMONX Project for Advanced Beam Physics Experiments",
WEPLS022,"E. Syresin, JINR, Dubna, Moscow Region; K.H. Hiller, DESY Zeuthen, Zeuthen; R.S. Makarov, MSU, Moscow; H.J. Schriber, DESY Zeuthen, Zeuthen; B.Zh. Zalikhanov, JINR, Dubna, Moscow Region","ILC Beam Energy Measurement based on Synchrotron Radiation from a Magnetic Spectrometer",
WEPLS023,"V.G. Ziemann, UU/ISV, Uppsala; H.-H. Braun, S. Doebert, CERN, Geneva; T. J. C. Ekelof, UU/ISV, Uppsala; G. Geschonke, CERN, Geneva; M. A. Johnson, UU/ISV, Uppsala; J.P.H. Sladen, W. Wuensch, CERN, Geneva","The Two-beam Test-stand in CTF3",
WEPLS024,"W. van Dijk, G.J.H. Brussaard, W.H. Urbanus, M.J. Van der Wiel, S.B. van der Geer, TUE, Eindhoven","Linear Laser Wakefield Acceleration with External Injection",
WEPLS025,"P. Muggli, USC, Los Angeles, California; M. Babzien, I. Ben-Zvi, BNL, Upton, Long Island, New York; E.K. Kallos, T.C. Katsouleas, USC, Los Angeles, California; W.D. Kimura, STI, Washington; K. Kusche, P.I. Pavlishin, I. Pogorelsky, D. Stolyarov, V. Yakimenko, BNL, Upton, Long Island, New York; F. Zhou, UCLA, Los Angeles, California","Multi-bunch Plasma Wakefield Experiments at the Brookhaven National Laboratory Accelerator Test Facility",
WEPLS028,"K. Kinoshita, T. Hosokai, K. Kobayashi, A. Maekawa, T. Ohkubo, T. Tsujii, M. Uesaka, UTNL, Ibaraki; A. Yamazaki, KURRI, Osaka; A.G. Zhidkov, NIRS, Chiba-shi","Improvement of Electron Generation from a Laser Plasma Cathode through Modified Preplasma Conditions Using an Artificial Prepulse",
WEPLS029,"A. Maekawa, T. Hosokai, K. Kinoshita, K. Kobayashi, UTNL, Ibaraki; Y. Kondo, Tohoku University, Sendai; T. Ohkubo, UTNL, Ibaraki; Y. Shibata, Tohoku University, Sendai; T. Takahashi, KURRI, Osaka; T. Tsujii, M. Uesaka, UTNL, Ibaraki; A. Yamazaki, KURRI, Osaka; A.G. Zhidkov, NIRS, Chiba-shi","Monoenergetic 200fs (FWHM) Electron Bunch Measurement from the Laser Plasma Cathode",
WEPLS032,"G.A. Moortgat-Pick, I.R. Bailey, D.P. Barber, Cockcroft Institute, Warrington, Cheshire; E. Baynham, T.W. Bradshaw, A.J. Brummitt, F.S. Carr, CCLRC/RAL, Chilton, Didcot, Oxon; J.A. Clarke, Cockcroft Institute, Warrington, Cheshire; P. Cooke, Liverpool University, Science Faculty, Liverpool; J.B. Dainton, Cockcroft Institute, Warrington, Cheshire; Y. Ivanyushenkov, CCLRC/RAL, Chilton, Didcot, Oxon; O.B. Malyshev, Cockcroft Institute, Warrington, Cheshire; L.I. Malysheva, Liverpool University, Science Faculty, Liverpool; G.A. Moortgat-Pick, Cockcroft Institute, Warrington, Cheshire; J. Rochford, CCLRC/RAL, Chilton, Didcot, Oxon; D.J. Scott, Cockcroft Institute, Warrington, Cheshire","Spin Tracking at the ILC",
WEPLS033,"O.J. Luiten, M.P. Reijnders, G. Taban, E.J.D. Vredenbregt, S.B. van der Geer, TUE, Eindhoven","Cold Atom Electron Sources",
WEPLS038,"C. Wang, Omega-P, Inc., New Haven, Connecticut; J.L. Hirshfield, M.A. LaPointe, Yale University, Physics Department, New Haven, CT; V.P. Yakovlev, Omega-P, Inc., New Haven, Connecticut","Design of Diamond-lined Accelerator Structure Test Cavity",
WEPLS039,"A. Kanareykin, Euclid TechLabs, LLC, Solon, Ohio; M.E. Conde, W. Gai, ANL, Argonne, Illinois; C.-J. Jing, Euclid TechLabs, LLC, Solon, Ohio; J.G. Power, ANL, Argonne, Illinois; P. Schoessow, Tech-X, Boulder, Colorado","Developments on a Diamond-based Cylindrical Dielectric Accelerating Structure",
WEPLS040,"A. Kanareykin, Euclid TechLabs, LLC, Solon, Ohio; P. Schoessow, Tech-X, Boulder, Colorado; L. Schächter, Technion, Haifa","Progress towards an Experimental Test of an Active Microwave Medium Based Accelerator",
WEPLS042,"A. Kanareykin, Euclid TechLabs, LLC, Solon, Ohio; W. Gai, ANL, Argonne, Illinois; C.-J. Jing, Euclid TechLabs, LLC, Solon, Ohio; J.G. Power, ANL, Argonne, Illinois; P. Schoessow, Euclid TechLabs, LLC, Solon, Ohio","Design and Experimental Investigation of an X-band Multilayer Dielectric Accelerating Structure",
WEPLS043,"D. Janssen, A. Arnold, H. Buettig, R. Hempel, FZR, Dresden; T. Kamps, BESSY GmbH, Berlin; W.-D. Lehmann, IfE, Dresden; U. Lehnert, FZR, Dresden; D. Lipka, F. Marhauser, BESSY GmbH, Berlin; P. Michel, K. Moeller, P. Murcek, Ch. Schneider, R. Schurig, F. Staufenbiel, FZR, Dresden; J. Stephan, IKST, Drsden; J. Teichert, FZR, Dresden; V. Volkov, BINP SB RAS, Novosibirsk; I. Will, MBI, Berlin; R. Xiang, FZR, Dresden","Progress of the Rossendorf SRF Gun Project",
WEPLS044,"D. Janssen, FZR, Dresden; V. Volkov, BINP SB RAS, Novosibirsk","Design of a Superconducting Cavity for a SRF Injector",
WEPLS045,"A. Schaelicke, DESY Zeuthen, Zeuthen; R. Dollan, Humboldt University Berlin, Institut fuer Physik, Berlin; K. Laihem, DESY Zeuthen, Zeuthen; Th. Lohse, Humboldt University Berlin, Institut fuer Physik, Berlin; S. Riemann, A. Ushakov, DESY Zeuthen, Zeuthen","Study on Low-energy Positron Polarimetry",
WEPLS046,"A. Ushakov, DESY Zeuthen, Zeuthen; Eckhard. Elsen, K. Floettmann, DESY, Hamburg; S. Riemann, DESY Zeuthen, Zeuthen; K.N. Sanosyan, CANDLE, Yerevan","Radiation Levels and Activation at the ILC Positron Source",
WEPLS047,"C.D. Beard, J.H.P. Rogers, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; F. Staufenbiel, J. Teichert, FZR, Dresden","3-1/2 Cell Superconducting RF Gun Simulations",
WEPLS048,"I.R. Bailey, I.R. Bailey, Cockcroft Institute, Warrington, Cheshire; V. Bharadwaj, SLAC, Menlo Park, California; P. Cooke, Liverpool University, Science Faculty, Liverpool; J.B. Dainton, Cockcroft Institute, Warrington, Cheshire; J.G. Gronberg, D.J. Mayhall, W.T. Piggott, LLNL, Livermore, California; D.J. Scott, Cockcroft Institute, Warrington, Cheshire; J. Sheppard, SLAC, Menlo Park, California; W. Stein, LLNL, Livermore, California; P. Sutcliffe, Liverpool University, Science Faculty, Liverpool","Development of a Positron Production Target for the ILC Positron Source",
WEPLS049,"D. Alesini, M. Ferrario, INFN/LNF, Frascati (Roma); L. Ficcadenti, Rome University La Sapienza, Roma; V. Fusco, INFN/LNF, Frascati (Roma); A. Mostacci, Rome University La Sapienza, Roma; B. O'Shea, UCLA, Los Angeles, California; L. Palumbo, Rome University La Sapienza, Roma; J.B. Rosenzweig, UCLA, Los Angeles, California; B. Spataro, INFN/LNF, Frascati (Roma); G. Travish, UCLA, Los Angeles, California","The Design of a Hybrid Photoinjector for High Brightness Beam Applications",
WEPLS050,"M. Cavenago, INFN/LNL, Legnaro, Padova; G. Bettega, F. Cavaliere, D. Ghezzi, A. Illiberi, R. Pozzoli, M. Rome, INFN-Milano, Milano","Experiments with Electron Cloud and Sources",
WEPLS051,"L. Monaco, INFN/LASA, Segrate (MI); J.H. Han, DESY, Hamburg; M. Krasilnikov, DESY Zeuthen, Zeuthen; P. Michelato, C. Pagani, P. Pierini, INFN/LASA, Segrate (MI); S. Schreiber, DESY, Hamburg; D. Sertore, INFN/LASA, Segrate (MI); F. Stephan, DESY Zeuthen, Zeuthen","Dark Current Investigation of TTF and PITZ RF Guns",
WEPLS052,"D. Sertore, INFN/LASA, Segrate (MI); J.H. Han, DESY, Hamburg; P. Michelato, L. Monaco, C. Pagani, INFN/LASA, Segrate (MI); S. Schreiber, DESY, Hamburg","High QE Photocathode at FLASH",
WEPLS053,"H. Moritani, UTNL, Ibaraki; H. Hanaki, N. Kumagai, JASRI/SPring-8, Hyogo-ken; Y. Muroya, A. Sakumi, UTNL, Ibaraki; J. Sasabe, Hamamatsu Photonics K.K., Hamakita, Shizuoka; S. Suzuki, H. Tomizawa, JASRI/SPring-8, Hyogo-ken; T. Ueda, M. Uesaka, UTNL, Ibaraki; J. Urakawa, KEK, Ibaraki","RF Design of a Cartridge-type Photocathode RF Gun in S-band Linac",
WEPLS054,"K. Kan, T. Kondoh, J. Yang, Y. Yoshida, ISIR, Osaka","Higher-order Effect Compensation in Magnetic Compressor for lt; 50 fs Electron Bunch Generation",
WEPLS055,"Y.K. Kuroda, T. Kondoh, J. Yang, Y. Yoshida, ISIR, Osaka","Development of Double-decker Electron Beam Accelerator for Femto/attosecond Pulse Radiolysis",
WEPLS056,"A. Sato, Osaka University, Osaka; M. Aiba, KEK, Ibaraki; M. Aoki, Y. Arimoto, I. Itahashi, Osaka University, Osaka; Y. Iwashita, Kyoto ICR, Uji, Kyoto; Y. Kuno, K. Kuriyama, Osaka University, Osaka; S. Machida, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon; Y. Mori, KURRI, Osaka; C. Ohmori, KEK, Ibaraki; T. Oki, T. Takayanagi, Osaka University, Osaka; T. Yokoi, KEK, Ibaraki; M. Yoshida, Osaka University, Osaka; K. Yoshimura, KEK, Ibaraki","Ramp;D Status of the High-intense Monochromatic Low-energy Muon Source: PRISM",
WEPLS057,"S. Takemoto, T. Kondoh, J. Yang, Y. Yoshida, ISIR, Osaka","Equivalent Velocity Spectroscopy Based on Femtosecond Electron Beam Accelerator",
WEPLS058,"J. Yang, K. Kan, T. Kondoh, A. Yoshida, Y. Yoshida, ISIR, Osaka","Femtosecond Single-bunch Electron Linear Accelerator Based on a Photocathode RF Gun",
WEPLS059,"R. Losito, CERN, Geneva; G. Bienvenu, LAL, Orsay; H.-H. Braun, N. Champault, E. Chevallay, CERN, Geneva; M. Divall, CCLRC/RAL, Chilton, Didcot, Oxon; V. Fedosseev, CERN, Geneva; G.J. Hirst, CCLRC/RAL, Chilton, Didcot, Oxon; A. Kumar, CERN, Geneva; G. Kurdi, W. E. Martin, CCLRC/RAL, Chilton, Didcot, Oxon; A.M. Masi, CERN, Geneva; B.M. Mercier, LAL, Orsay; I. O. Musgrave, CCLRC/RAL, Chilton, Didcot, Oxon; C.P. Prevost, LAL, Orsay; I. N. Ross, CCLRC/RAL, Chilton, Didcot, Oxon; R. Roux, LAL, Orsay; E. L. Springate, CCLRC/RAL, Chilton, Didcot, Oxon; G. Suberlucq, CERN, Geneva","The PHIN Photoinjector for the CTF3 Drive Beam",
WEPLS060,"F. Zimmermann, CERN, Geneva; S. Araki, KEK, Ibaraki; X. Artru, IN2P3 IPNL, Villeurbanne; H.-H. Braun, CERN, Geneva; E.V. Bulyak, NSC/KIPT, Kharkov; R. Chehab, M. Chevallier, IN2P3 IPNL, Villeurbanne; M.K. Fukuda, NIRS, Chiba-shi; J. Gao, IHEP Beijing, Beijing; P. Gladkikh, NSC/KIPT, Kharkov; S. Guiducci, INFN/LNF, Frascati (Roma); Y. Higashi, KEK, Ibaraki; K. Hirano, NIRS, Chiba-shi; T. Hirose, RISE, Tokyo; Y. Honda, KEK, Ibaraki; M. Korostelev, CERN, Geneva; Y. Kurihara, M. Kuriki, KEK, Ibaraki; K. Moenig, DESY Zeuthen, Zeuthen; T. Okugi, T. Omori, KEK, Ibaraki; P. Raimondi, INFN/LNF, Frascati (Roma); L. Rinolfi, CERN, Geneva; K. Sakaue, RISE, Tokyo; H.D. Sato, HU/AdSM, Higashi-Hiroshima; D. Schulte, CERN, Geneva; V. Soskov, LPI, Moscow; V.M. Strakhovenko, BINP SB RAS, Novosibirsk; T. Takahashi, Hiroshima University, Higashi-Hiroshima; M. Takano, NIRS, Chiba-shi; T. Taniguchi, N. Terunuma, KEK, Ibaraki; A. Tsunemi, SHI, Tokyo; J. Urakawa, KEK, Ibaraki; V. Variola, LAL, Orsay; M. Washio, RISE, Tokyo; Z.F. Zomer, LAL, Orsay","CLIC Polarized Positron Source Based on Laser Compton Scattering",
WEPLS063,"A.A. Mikhailichenko, Cornell University, Department of Physics, Ithaca, New York","Laser Driven Linear Collider",
WEPLS064,"A.A. Mikhailichenko, Cornell University, Department of Physics, Ithaca, New York","Wiggler for ILC Cooler",
WEPLS065,"N. Thompson, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","The Effect of Vaccum Vessel Permeability on the Field Quality within Dipole and Quadrupole Magnets at the Energy Recovery Linac Prototype (ERLP) at Daresbury Laboratory",
WEPLS066,"C.P. Bailey, Diamond, Oxfordshire; F. Goldie, B. Leigh, Tesla Engineering Limited, West-Sussex; N. Marks, Diamond, Oxfordshire","Harmonic Measurement and Adjustment of Diamond Quadrupoles",
WEPLS067,"S.P. Mhaskar, C.P. Bailey, Diamond, Oxfordshire; F. Bødker, Danfysik A/S, Jyllinge; G.M.A. Duller, Diamond, Oxfordshire; N. Hauge, L.H. Helmersen, Danfysik A/S, Jyllinge; V.C. Kempson, N. Marks, Diamond, Oxfordshire","Magnets for the 3 GeV Booster Synchrotron for the Diamond Light Source",
WEPLS068,"E.P. Pournaras, A. Karabarbounis, C.N. Papanicolas, E. Stiliaris, IASA, Athens","The IASA Magnetic Field Mapping (MFM) Project",
WEPLS070,"D. Zangrando, D. Castronovo, F. Iazzourene, M. Svandrlik, ELETTRA, Basovizza, Trieste","The Elettra Booster Magnets Construction Status",
WEPLS071,"K. Fan, Y. Arakaki, I. Sugai, KEK, Ibaraki","Design Method for a Large Aperture Opposite-field Septum Magnet",
WEPLS072,"K. Niki, K. Ishii, KEK, Ibaraki; M. Muto, New Affiliation Request Pending, -TBS-; Y. Nemoto, E. Yanaoka, KEK, Ibaraki","Results of Field Measurements for J-PARC Main Ring Magnets",
WEPLS073,"Y. Iwashita, Kyoto ICR, Uji, Kyoto; M. Kumada, NIRS, Chiba-shi; T. Mihara, Kyoto ICR, Uji, Kyoto; C.M. Spencer, SLAC, Menlo Park, California","A Super Strong Adjustable Permanent Magnet Quadrupole for the Final Focus in a Linear Collider",
WEPLS074,"S. Varnasseri, SESAME, Amman","SESAME Magnets System",
WEPLS077,"Y.-H. Kim, Y.-S. Cho, J.-H. Jang, KAERI, Daejon","Considerations on the Design of the Bending Magnet for Beam Extraction System of PEFP",
WEPLS078,"J. Kang, D.H. An, J.-S. Chai, H.S. Chang, H.B. Hong, M.G. Hur, I.S. Jung, Y.-S. Kim, T.K. Yang, KIRAMS, Seoul","Design Study of the 30 MeV Cyclotron Magnet",
WEPLS080,"M. Pont, ALBA, Bellaterra; E. Boter, M.L. Lopes, CELLS, Bellaterra (Cerdanyola del Vallès)","Magnets for the Storage Ring ALBA",
WEPLS081,"J. Borburgh, B. Balhan, B. Goddard, Y. Kadi, CERN, Geneva","Modifications to the SPS LSS6 Septa for LHC and the SPS Septa Diluters",
WEPLS082,"J. Borburgh, M. Hourican, T. Masson, A. Prost, CERN, Geneva","The Septa for LEIR Extraction and PS Injection",
WEPLS083,"Th. Zickler, D. Bodart, W. Kalbreier, K.H. Mess, A. Newborough, CERN, Geneva","Consolidation of the 45-year-old CERN PS Main Magnet System",
WEPLS084,"G. Velev, J. DiMarco, D.J. Harding, V.S. Kashikhin, M.J. Lamm, A. Makulski, D.F. Orris, P. Schlabach, C. Sylvester, M. Tartaglia, J. Tompkins, Fermilab, Batavia, Illinois","AC Field Measurements of Fermilab Booster Correctors Using a Rotating Coil System",
WEPLS085,"V.A. Dolgashev, S.G. Tantawi, SLAC, Menlo Park, California","Study of RF Breakdown in Normal Conducting Structures with Various Geometries and Materials",
WEPLS087,"G. Moritz, GSI, Darmstadt","Status of the Development of the FAIR Superconducting Magnets",
WEPLS089,"M. Masuzawa, K. Egawa, K. Tsuchiya, KEK, Ibaraki","Feasibility Study of a Permanent Magnet Made from High-Tc Bulk Superconductor",
WEPLS090,"A.D. Kovalenko, N.N. Agapov, A.V. Alfeev, JINR, Dubna, Moscow Region; E. Fischer, GSI, Darmstadt; A.K. Kalimov, St. Petersburg State Polytechnic University, St. Petersburg; H.G. Khodzhibagiyan, G.L. Kuznetsov, JINR, Dubna, Moscow Region; G. Moritz, C. Muehle, GSI, Darmstadt; V.V. Seleznev, JINR, Dubna, Moscow Region; A.V. Shabunov, JINR/LHE, Moscow; P.J. Spiller, GSI, Darmstadt; A.Y. Starikov, JINR, Dubna, Moscow Region","Full Length Superferric Dipole and Quadrupole Prototype Magnets for the SIS100 at GSI: Status of the Design and Manufacturing",
WEPLS091,"E. Fischer, GSI, Darmstadt; H.G. Khodzhibagiyan, A.D. Kovalenko, JINR, Dubna, Moscow Region; R.V. Kurnyshov, IHEP Protvino, Protvino, Moscow Region; G. Moritz, GSI, Darmstadt; P.A. Shcherbakov, IHEP Protvino, Protvino, Moscow Region","Analysis of the Superferric Quadrupole Magnet Design for the SIS100 Accelerator of the FAIR Project",
WEPLS092,"Y. Jongen, IBA, Louvain-la-Neuve; G.A. Karamysheva, N.A. Morozov, E. Samsonov, JINR, Dubna, Moscow Region; D. Vandeplassche, S.E. Zaremba, IBA, Louvain-la-Neuve","Computer Modeling of Magnetic System for C400 Superconducting Cyclotron",
WEPLS093,"P.A. Shcherbakov, IHEP Protvino, Protvino, Moscow Region; E. Fischer, GSI, Darmstadt; R.V. Kurnyshov, Electroplant, Moscow","3D Field Computation for the Main Prototype Magnets of the SIS100 Accelerator of the FAIR Project",
WEPLS094,"P.A. Shcherbakov, IHEP Protvino, Protvino, Moscow Region; E. Fischer, GSI, Darmstadt; R.V. Kurnyshov, Electroplant, Moscow","3D Magnetic Field and Eddy Current Loss Calculations for Iron Dominated Accelerator Magnets using ANSYS Compared with Results of Noncommercial Codes",
WEPLS096,"F. Toral, P. Abramian, CIEMAT, Madrid; R. Bandelmann, H. Brueck, DESY, Hamburg; J. Calero, L. García-Tabarés, CEDEX, Madrid; J.L. Gutierrez, CIEMAT, Madrid; J. Lucas, Elytt Energy, Madrid; E. Rodriguez, I. Rodriguez, S. Sanz, C. Vazquez, CIEMAT, Madrid","Design and Calculation of a Superferric Combined Magnet for XFEL",
WEPLS097,"B. Bellesia, CERN, Geneva; C. Santoni, Université Blaise Pascal, Clermont-Ferrand; E. Todesco, CERN, Geneva","Random Errors in Superconducting Dipoles",
WEPLS098,"D. Bozzini, V. Chareyre, CERN, Geneva; A. Kotarba, HNINP, Kraków; K.H. Mess, CERN, Geneva; S. Olek, HNINP, Kraków; S. Russenschuck, CERN, Geneva","Experience with the Quality Assurance of the Superconducting Electrical Circuits of the LHC Machine",
WEPLS099,"D. Bozzini, F. Caspers, V. Chareyre, Y. Duse, T. Kroyer, R. Lopez, A. Poncet, S. Russenschuck, CERN, Geneva","Fault Detection and Identification Methods Used for the LHC Cryomagnets and Related Cabling",
WEPLS100,"G. De Rijk, M. Bajko, L. Bottura, M.C.L. Buzio, V. Chohan, L. Deniau, P. Fessia, J. Garcia Perez, P. Hagen, J.-P. Koutchouk, J. Kozak, J. Miles, M. Missiaen, M. Modena, P. Pugnat, V. Remondino, L. Rossi, S. Sanfilippo, F. Savary, A.P. Siemko, N. Smirnov, A. Stafiniak, E. Todesco, D. Tommasini, J. Vlogaert, C. Vollinger, L. Walckiers, E.Y. Wildner, CERN, Geneva","Performance of LHC Main Dipoles for Beam Operation",
WEPLS101,"A. Devred, B. Auchmann, Y. Boncompagni, V. Ferapontov, J.-P. Koutchouk, S. Russenschuck, T. Sahner, C. Vollinger, CERN, Geneva","First Computation of Parasitic Fields in LHC Dipole Magnet Interconnects",
WEPLS102,"R. Ostojic, P. Canard, N. Catalan-Lasheras, G. Kirby, J.C. Perez, H. Prin, W. Venturini Delsolaro, CERN, Geneva","The Construction of the Superconducting Matching Quadrupoles for the LHC Insertions",
WEPLS103,"N.J. Sammut, L. Bottura, CERN, Geneva; J. Micallef, University of Malta, Faculty of Engineering, Msida; S. Sanfilippo, CERN, Geneva","The Field Description Model for the LHC Quadrupole Superconducting Magnets",
WEPLS104,"N.J. Sammut, L. Bottura, CERN, Geneva; J. Micallef, University of Malta, Faculty of Engineering, Msida; S. Sanfilippo, CERN, Geneva","The Dependence of the Field Decay on the Powering History of the LHC Superconducting Dipole Magnets",
WEPLS105,"T. Tortschanoff, CERN, Geneva; R. Burgmer, ACCEL, Bergisch Gladbach; M. Durante, CEA, Gif-sur-Yvette; P. Hagen, CERN, Geneva; H.-U. Klein, D. Krischel, ACCEL, Bergisch Gladbach; M. Modena, CERN, Geneva; A. Payn, CEA, Gif-sur-Yvette; L. Rossi, S. Sanfilippo, CERN, Geneva; B. Schellong, ACCEL, Bergisch Gladbach; K. M. Schirm, CERN, Geneva; P. Schmidt, ACCEL, Bergisch Gladbach; F. Simon, CEA, Gif-sur-Yvette; E. Todesco, E.Y. Wildner, CERN, Geneva","Performance of the LHC Arc Superconducting Quadrupoles towards the End of their Series Fabrication",
WEPLS106,"M. Karppinen, C. Boyer, J.-M. Castro, CERN, Geneva; G. Gaggero, ANSALDO Energia, Magnet amp; Special Product Division, Genova; H.A. Garcia de Sousa Lopes, C. Giloux, CERN, Geneva; P. Khare, RRCAT, Indore (M.P.); L. Loche, ANSALDO Energia, Magnet amp; Special Product Division, Genova; J. Mazet, G. Mugnai, CERN, Geneva; A. Puntambekar, RRCAT, Indore (M.P.); V. Remondino, D. Rodrigues, CERN, Geneva; M. Tassisto, ANSALDO Energia, Magnet amp; Special Product Division, Genova; W. Venturini Delsolaro, R. Wolf, CERN, Geneva","Design, Performance and Series Production of Superconducting Trim Quadrupoles for the Large Hadron Collider",
WEPLS107,"R. de Maria, B. Auchmann, S. Russenschuck, CERN, Geneva","Comparative Study of Inter-strand Coupling Current Models for Accelerator Magnets",
WEPLS108,"S.A. Kahn, M. Alsharo'a, Muons, Inc, Batavia; R.C. Gupta, BNL, Upton, Long Island, New York; P.M. Hanlet, R.P. Johnson, M. Kuchnir, D.J. Newsham, Muons, Inc, Batavia; R. Palmer, E. Willen, BNL, Upton, Long Island, New York","High Field Solenoid Magnets for Muon Cooling",
WEPLS109,"M.J. Lamm, R. Bossert, J. DiMarco, SF. Feher, A. Hocker, J.S. Kerby, A. Nobrega, I. Novitski, R. Rabehl, P. Schlabach, J. Strait, C. Sylvester, M. Tartaglia, J. Tompkins, G. Velev, A.V. Zlobin, Fermilab, Batavia, Illinois","Test Results of Fermilab-built Quadrupoles for the LHC Interaction Regions",
WEPLS110,"G. Velev, P. Bauer, R.H. Carcagno, J. DiMarco, M.J. Lamm, D.F. Orris, P. Schlabach, C. Sylvester, M. Tartaglia, J. Tompkins, Fermilab, Batavia, Illinois","New Measurements of Sextupole Field Decay and Snapback Effect on Tevatron Dipole Magnets",
WEPLS112,"A.V. Zlobin, V. Kashikhin, Fermilab, Batavia, Illinois","Study of 2-in-1 Large-aperture Nb3Sn IR Quadrupoles for the LHC Luminosity Upgrade",
WEPLS114,"M.A. Green, LBNL, Berkeley, California; W. Lau, OXFORDphysics, Oxford, Oxon; S.P. Virostek, LBNL, Berkeley, California; S.Q. Yang, OXFORDphysics, Oxford, Oxon","Progress on the MICE Tracker Solenoid",
WEPLS115,"F. Marhauser, O. Dressler, V. Duerr, J. Feikes, BESSY GmbH, Berlin","Impedances in Slotted-Pipe Kicker Magnets",
