FOAA001,"M.A.C. Cummings, Northern Illinois University, DeKalb, Illinois","New Technology in Hydrogen Absorbers for Muon Cooling Channels",
WPAE044,"T. Morishita, H. Ao, JAERI/LINAC, Ibaraki-ken; K. Hasegawa, JAERI, Ibaraki-ken; M. Ikegami, KEK, Ibaraki; T. Ito, JAERI/LINAC, Ibaraki-ken; C. Kubota, F. Naito, E. Takasaki, H. Tanaka, KEK, Ibaraki; A. Ueno, JAERI/LINAC, Ibaraki-ken; K. Yoshino, KEK, Ibaraki","An Alignment of J-PARC Linac",
WPAE045,"D. Li, M.A. Green, LBNL, Berkeley, California; W. Lau, OXFORDphysics, Oxford, Oxon; S.P. Virostek, LBNL, Berkeley, California; A. E. White, S.Q. Yang, OXFORDphysics, Oxford, Oxon; M.S. Zisman, LBNL, Berkeley, California","Progress on RF Coupling Coil Module Design for the MICE Channel",
WPAE046,"V.S. Avagyan, CANDLE, Yerevan","Diffusion Brazing and Welding of the Accelerating Structure",
WPAE050,"M. Fuerstner, I. Brunner, CERN, Geneva; I. Floret, Ecole d'ingénieurs de Genève, Genève; D. Forkel-Wirth, S. Mayer, H.G. Menzel, H. Vincke, CERN, Geneva","First Calibrations of Alanine and Radio-Photo-Luminescence Dosemeters to a Hadronic Radiation Environment",
WPAE053,"J.L. Boles, L. Ahle, S. Reyes, W. Stein, LLNL, Livermore, California","Neutronics Assessments for a RIA Fragmentation Line Beam Dump Concept",
WPAE054,"S. Reyes, L. Ahle, J.L. Boles, W. Stein, LLNL, Livermore, California; B.D. Wirth, UCB, Berkeley, California","Irradiation Effects on RIA Fragmentation Cu Beam Dump",
WPAE056,"W.S. Lockman, SCIPP, Santa Cruz, California; D. Aston, SLAC, Menlo Park, California; N.R. Barlow, Manchester University, Manchester; N.L. Blount, University of Oregon, Eugene, Oregon; M. Bondioli, INFN-Pisa, Pisa; G.R. Bower, SLAC, Menlo Park, California; G. Calderini, UNIPI, Pisa; B. Campbell, CHEP, Montreal, Quebec; M. Cristinziani, SLAC, Menlo Park, California; C.L. Edgar, Manchester University, Manchester; H. Fieguth, SLAC, Menlo Park, California; W. Kozanecki, CEA/DSM/DAPNIA, Gif-sur-Yvette; B.A. Petersen, Stanford University, Stanford, Califormia; S.H. Robertson, CHEP, Montreal, Quebec; D. Strom, University of Oregon, Eugene, Oregon; D. H. Wright, SLAC, Menlo Park, California","Geant4-Based Simulation Study of PEP-II Beam Backgrounds in the BaBar Detector at the SLAC B-Factory",
WPAE057,"K. Nagarathnam, UTRON Inc, Manassas, Virginia","Net Shape Manufacturing of Accelerator Components by High Pressure Combustion Driven Powder Compaction",
WPAE058,"M.J. Barnes, TRIUMF, Vancouver; L. Ducimetière, CERN, Geneva; G.D. Wait, TRIUMF, Vancouver","High Voltage Measurements on Nine PFNs for the LHC Injection Kicker Systems",
WPAE060,"S.-H. Jeong, H.S. Han, Y.G. Jung, H.-S. Kang, PAL, Pohang, Kyungbuk; H.H. Lee, UU, Gyeongju; H.-G. Lee, K.-H. Park, C. K. Ryu, H.S. Suh, PAL, Pohang, Kyungbuk","Programmable Power Supply for AC Switching Magnet of Proton Accelerator",
WPAE061,"S.-C. Kim, J. Choi, K.M. Ha, J.Y. Huang, PAL, Pohang, Kyungbuk","LC Filter for High Accuracy and Stability Digital MPS at PLS",
WPAE062,"Y.-S. Kim, J.-S. Chai, KIRAMS, Seoul; C.W. Chung, PAL, Pohang, Kyungbuk; B.-K. Kang, POSTECH, Pohang, Kyungbuk; H.-G. Lee, W.W. Lee, K.-H. Park, PAL, Pohang, Kyungbuk","AC Power Supply for Wobbler Magnet of the MC-50 Cyclotron",
WPAE063,"F. Bordry, J.-P. Burnet, F. Voelker, CERN, Geneva","CERN-PS Main Power Converter Renovation: How To Provide and Control the Large Flow of Energy for a Rapid Cycling Machine?",
WPAE064,"M.A. Clarke-Gayther, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon","quot;Fast-Slowquot; Beam Chopping for Next Generation High Power Proton Drivers",
WPAE065,"T.L. Allison, H. Higgins, E. Martin, W. Merz, S. Philip, Jefferson Lab, Newport News, Virginia","Jefferson Lab's Trim Card II",
WPAE066,"A.C. de Lira, P. Bellomo, J.J. Lipari, F.S. Rafael, SLAC, Menlo Park, California","PEP-II Large Power Supplies Rebuild Program at SLAC",
WPAE069,"B. Deriy, A.L. Hillman, G.S. Sprau, J. Wang, ANL, Argonne, Illinois","The APS Septum Magnet Power Supplies Upgrade",
WPAE070,"A.L. Hillman, S.J. Pasky, N. Sereno, R. Soliday, J. Wang, ANL, Argonne, Illinois","Injector Power Supplies Reliability Improvements at the Advanced Photon Source",
WPAE071,"S. Yamanaka, NIRS, Chiba-shi; K. Egawa, K. Endo, Z. Fang, KEK, Ibaraki","Power Supply for Magnet of Compact Proton and/or Heavy Ion Synchrotron for Radiotherapy",
WPAE072,"K.R. Rust, W.E. Barnett, R.I. Cutler, ORNL, Oak Ridge, Tennessee; S. Dewan, R. Holmes, IE Power Inc., Mississauga, Ontario; R.F. Lambiase, J. Sandberg, BNL, Upton, Long Island, New York; J. T. Weaver, ORNL, Oak Ridge, Tennessee; S. Wong, IE Power Inc., Mississauga, Ontario; J. Zeng, Digital Predictive Systems Inc., Toronto","Installation and Testing of SNS Magnet Power Supplies",
WPAE073,"V. Popov, S.M. Hartman, S. Mikhailov, O. Oakeley, P.W. Wallace, Y.K. Wu, DU/FEL, Durham, North Carolina","3 kA Power Supplies for the Duke OK-5 FEL Wigglers",
WPAE074,"V. Popov, S.M. Hartman, S. Mikhailov, O. Oakeley, P.W. Wallace, Y.K. Wu, DU/FEL, Durham, North Carolina","Trim Power Supplies for the Duke Booster and Storage Ring",
WPAE075,"G. Li, Y.G. Zhou, USTC/NSRL, Hefei, Anhui","Compact Digital High Voltage Charger",
WPAE079,"J. Olszewski, F.-J. Decker, R.H. Iverson, A. Kulikov, G.C. Pappas, SLAC, Menlo Park, California","Dual Power Supplies for PEP-II Injection Kickers",
WPAE082,"E. Trakhtenberg, J.T. Collins, P.K. Den Hartog, M. White, ANL, Argonne, Illinois","Design of a Precision Positioning System for the Undulators of the Linac Coherent Light Source",
WPAP001,"B. Pottin, R. Chaput, SOLEIL, Gif-sur-Yvette; D. Jousse, J.-L. Pastre, THALES, Colombes; J.-P. Pollina, SOLEIL, Gif-sur-Yvette; A.S. Setty, THALES, Colombes; M.-A. Tordeux, SOLEIL, Gif-sur-Yvette","HELIOS, the Linac Injector of SOLEIL: Installation and First Results",
WPAP003,"J.H. Han, J.W. Baehr, DESY Zeuthen, Zeuthen; K. Floettmann, DESY, Hamburg; H.-J. Grabosch, DESY Zeuthen, Zeuthen; M.V. Hartrott, BESSY GmbH, Berlin; M. Krasilnikov, DESY Zeuthen, Zeuthen; P. Michelato, INFN/LASA, Segrate (MI); V. Miltchev, DESY Zeuthen, Zeuthen; L. Monaco, INFN/LASA, Segrate (MI); A. Oppelt, B. Petrosyan, S. Riemann, DESY Zeuthen, Zeuthen; J.R. Roensch, Uni HH, Hamburg; S. Schreiber, DESY, Hamburg; D. Sertore, INFN/LASA, Segrate (MI); L. Staykov, F. Stephan, DESY Zeuthen, Zeuthen","Emission Mechanisms in a Photocathode RF Gun",
WPAP004,"J.H. Han, J.W. Baehr, DESY Zeuthen, Zeuthen; K. Floettmann, DESY, Hamburg; H.-J. Grabosch, DESY Zeuthen, Zeuthen; M.V. Hartrott, BESSY GmbH, Berlin; M. Krasilnikov, DESY Zeuthen, Zeuthen; P. Michelato, INFN/LASA, Segrate (MI); V. Miltchev, DESY Zeuthen, Zeuthen; L. Monaco, INFN/LASA, Segrate (MI); A. Oppelt, B. Petrosyan, S. Riemann, DESY Zeuthen, Zeuthen; J.R. Roensch, Uni HH, Hamburg; S. Schreiber, DESY, Hamburg; D. Sertore, INFN/LASA, Segrate (MI); L. Staykov, F. Stephan, DESY Zeuthen, Zeuthen","Dark Current and Multipacting in the Photocathode RF Guns at PITZ",
WPAP005,"M. Krasilnikov, J.W. Baehr, H.-J. Grabosch, J.H. Han, DESY Zeuthen, Zeuthen; M.V. Hartrott, BESSY GmbH, Berlin; V. Miltchev, A. Oppelt, B. Petrosyan, L. Staykov, F. Stephan, DESY Zeuthen, Zeuthen","Beam-Based Procedures for RF Guns",
WPAP006,"M. Krasilnikov, K. Abrahamyan, DESY Zeuthen, Zeuthen; W. Ackermann, TEMF, Darmstadt; G. Asova, J.W. Baehr, DESY Zeuthen, Zeuthen; J.-P. Carneiro, DESY, Hamburg; G. Dimitrov, DESY Zeuthen, Zeuthen; K. Floettmann, DESY, Hamburg; U. Gensch, H.-J. Grabosch, J.H. Han, DESY Zeuthen, Zeuthen; M.V. Hartrott, E. Jaeschke, BESSY GmbH, Berlin; S. Khodyachykh, DESY Zeuthen, Zeuthen; D. Kraemer, D. Lipka, BESSY GmbH, Berlin; S. Liu, DESY Zeuthen, Zeuthen; P. Michelato, INFN/LASA, Segrate (MI); V. Miltchev, DESY Zeuthen, Zeuthen; L. Monaco, INFN/LASA, Segrate (MI); W.F.O. Müller, TEMF, Darmstadt; A. Oppelt, DESY Zeuthen, Zeuthen; C. Pagani, INFN/LASA, Segrate (MI); B. Petrosyan, DESY Zeuthen, Zeuthen; R. Richter, BESSY GmbH, Berlin; S. Riemann, DESY Zeuthen, Zeuthen; J.R. Roensch, J. Rossbach, Uni HH, Hamburg; W. Sandner, MBI, Berlin; S. Schnepp, TEMF, Darmstadt; S. Schreiber, DESY, Hamburg; D. Sertore, INFN/LASA, Segrate (MI); L. Staykov, F. Stephan, DESY Zeuthen, Zeuthen; I. Tsakov, INRNE, Sofia; T. Weiland, TEMF, Darmstadt; I. Will, MBI, Berlin","Recent Developments at PITZ",
WPAP007,"R. Xiang, H. Buettig, P. Evtushenko, D. Janssen, FZR, Dresden; T. Kamps, BESSY GmbH, Berlin; W.-D. Lehmann, IfE, Dresden; U. Lehnert, FZR, Dresden; D. Lipka, BESSY GmbH, Berlin; P. Michel, K. Moeller, Ch. Schneider, R. Schurig, F. Staufenbiel, FZR, Dresden; J. Stephan, IKST, Drsden; J. Teichert, FZR, Dresden; V. Volkov, BINP SB RAS, Novosibirsk; I. Will, MBI, Berlin","Status of the 3½ Cell Superconducting RF Gun Project in Rossendorf",
WPAP008,"B. Steiner, TEMF, Darmstadt; J. Enders, H.-D. Gräf, TU Darmstadt, Darmstadt; W.F.O. Müller, TEMF, Darmstadt; A. Richter, M. Roth, TU Darmstadt, Darmstadt; T. Weiland, TEMF, Darmstadt","Simulation for a New Polarized Electron Injector (SPIN) for the S-DALINAC",
WPAP009,"C. Ronsivalle, ENEA C.R. Frascati, Frascati (Roma); M. Boscolo, M. Ferrario, INFN/LNF, Frascati (Roma); L. Serafini, INFN-Milano, Milano; B. Spataro, INFN/LNF, Frascati (Roma)","Optimization of RF Compressor in the SPARX Injector",
WPAP011,"M. Boscolo, M. Ferrario, V. Fusco, M. Migliorati, INFN/LNF, Frascati (Roma); S. Reiche, UCLA, Los Angeles, California; C. Ronsivalle, ENEA C.R. Frascati, Frascati (Roma)","SPARC Working Point Optimization for a Bunch with Gaussian Temporal Profile",
WPAP012,"M. Boscolo, INFN/LNF, Frascati (Roma); F. Castelli, S. Cialdi, INFN-Milano, Milano; M. Ferrario, INFN/LNF, Frascati (Roma); A.F. Flacco, INFN-Milano, Milano; M. Migliorati, INFN/LNF, Frascati (Roma)","Preliminary Results on Beam Dynamics of Laser Pulse Shaping Effects in SPARC",
WPAP013,"F. Tazzioli, INFN/LNF, Frascati (Roma); I. Boscolo, S. Cialdi, INFN-Milano, Milano; L. Cultrera, Lecce University, Lecce; G. Gatti, INFN/LNF, Frascati (Roma); S. Orlanducci, Università di Roma II Tor Vergata, Roma; A. Perrone, Lecce University, Lecce; M. Rossi, Rome University La Sapienza, Roma; M.L. Terranova, Università di Roma II Tor Vergata, Roma; C. Vicario, INFN/LNF, Frascati (Roma)","Magnesium Film Photocathodes for High Brilliance Electron Injectors",
WPAP014,"Y. Hozumi, GUAS/AS, Ibaraki; M. Ikeda, S. Ohsawa, T. Sugimura, KEK, Ibaraki","Development of Electron Gun of Carbon Nanotube Cathode",
WPAP016,"S. Ohsawa, KEK, Ibaraki; Y. Hozumi, GUAS/AS, Ibaraki; M. Ikeda, KEK, Ibaraki; K. Kanno, AET Japan, Inc., Kawasaki-City; T. Sugimura, M. Tawada, KEK, Ibaraki","High Brightness Electron Gun for X-Ray Source",
WPAP017,"J. Yang, RCNP, Osaka; K. Kan, T. Kondoh, T. Kozawa, S. Tagawa, Y. Yoshida, ISIR, Osaka","Experimental Observation of a 100-Femtosecond Single Electron Bunch in Photocathode Linac with Longitudinal Emittance Compensation Technique",
WPAP018,"J. Yang, K. Kan, T. Kondoh, T. Kozawa, Y. Kuroda, S. Tagawa, Y. Yoshida, ISIR, Osaka","Generation of Double-Decker Femtosecond Electron Beams in a Photoinjector",
WPAP019,"A. Fukasawa, UTNL, Ibaraki; M. Akemoto, KEK, Ibaraki; K. Dobashi, NIRS, Chiba-shi; F. Ebina, UTNL, Ibaraki; H. Hayano, T. Higo, KEK, Ibaraki; T. Kaneyasu, UTNL, Ibaraki; K.M. Matsuo, IHI/Yokohama, Kanagawa; H. Ogino, UTNL, Ibaraki; H. Sakae, IHI/Yokohama, Kanagawa; F. Sakamoto, M. Uesaka, UTNL, Ibaraki; J.U. Urakawa, KEK, Ibaraki","X-Band Thermionic Cathode RF Gun at UTNL",
WPAP021,"S.J. Park, C. Kim, I.S. Ko, J.-S. Oh, Y.W. Parc, P.C.D. Park, J.H. Park, PAL, Pohang, Kyungbuk; X.J. Wang, BNL, Upton, Long Island, New York","Status of PPI (Pohang Photo-Injector) for PAL XFEL",
WPAP022,"J.H. Park, I.S. Ko, J.-S. Oh, Y.W. Parc, S.J. Park, PAL, Pohang, Kyungbuk; X.J. Wang, BNL, Upton, Long Island, New York; D. Xiang, TUB, Beijing","Measurements of Transverse Emittance for RF Photocathode Gun at the PAL",
WPAP023,"I.V. Kazarezov, V. Auslender, V.E. Balakin, A.A. Bryazgin, A.V. Bulatov, I.I. Glazkov, I.V. Kazarezov, E.N. Kokin, G.S. Krainov, G.I. Kuznetsov, A.M. Molokoedov, A.F.A. Tuvik, BINP SB RAS, Novosibirsk","Compact Source of Electron Beam with Energy of 200 kEv and Average Power of 2 kW",
WPAP027,"I.V. Khodak, V.A. Kushnir, NSC/KIPT, Kharkov","RF Electron Gun with Driven Plasma Cathode",
WPAP028,"V. Zakutin, A. Dovbnya, N.G. Reshetnyak, NSC/KIPT, Kharkov","Modes of Electron Beam Generation in a Magnetron Diode with a Secondary-Emission Cathode",
WPAP031,"I.V. Bazarov, Cornell University, Department of Physics, Ithaca, New York; I. Senderovich, Cornell University, Ithaca, New York; C.K. Sinclair, Cornell University, Department of Physics, Ithaca, New York","Use of Multiobjective Evolutionary Algorithms in High Brightness Electron Source Design",
WPAP032,"R. Tikhoplav, Rochester University, Rochester, New York; J.L. Li, Fermilab, Batavia, Illinois; A.C. Melissinos, Rochester University, Rochester, New York; P. Piot, Fermilab, Batavia, Illinois","Emittances Studies at the Fermilab/NICADD Photoinjector Laboratory",
WPAP033,"A.M.M. Todd, A. Ambrosio, AES, Medford, NY; I. Ben-Zvi, BNL, Upton, Long Island, New York; S.V. Benson, Jefferson Lab, Newport News, Virginia; H. Bluem, AES, Princeton, New Jersey; A. Burrill, R. Calaga, P. Cameron, BNL, Upton, Long Island, New York; I.E. Campisi, ORNL, Oak Ridge, Tennessee; X.Y. Chang, BNL, Upton, Long Island, New York; V. Christina, M.D. Cole, AES, Princeton, New Jersey; P. Colestock, LANL, Los Alamos, New Mexico; E. Daly, D. Douglas, H.F.D. Dylla, Jefferson Lab, Newport News, Virginia; M. Falletta, AES, Medford, NY; L. W. Funk, Jefferson Lab, Newport News, Virginia; H. Hahn, BNL, Upton, Long Island, New York; C. Hernandez-Garcia, J. Hogan, Jefferson Lab, Newport News, Virginia; D. Holmes, AES, Medford, NY; D. Janssen, FZR, Dresden; D. Kayran, BNL, Upton, Long Island, New York; J.P. Kelley, LANL, Los Alamos, New Mexico; J. Kewisch, BNL, Upton, Long Island, New York; P. Kneisel, Jefferson Lab, Newport News, Virginia; S.S. Kurennoy, LANL, Los Alamos, New Mexico; J.W. Lewellen, ANL, Argonne, Illinois; V. Litvinenko, BNL, Upton, Long Island, New York; J. Mammosser, Jefferson Lab, Newport News, Virginia; G.T. McIntyre, BNL, Upton, Long Island, New York; G. Neil, Jefferson Lab, Newport News, Virginia; D.C. Nguyen, LANL, Los Alamos, New Mexico; T. Nicoletti, BNL, Upton, Long Island, New York; E. Peterson, AES, Medford, NY; H.L. Phillips, J.P. Preble, Jefferson Lab, Newport News, Virginia; J. Rank, T. Rao, BNL, Upton, Long Island, New York; J. Rathke, AES, Princeton, New Jersey; W. Reass, D. Rees, LANL, Los Alamos, New Mexico; R.A. Rimmer, C.H. Rode, Jefferson Lab, Newport News, Virginia; S.J. Russell, LANL, Los Alamos, New Mexico; J. Scaduto, BNL, Upton, Long Island, New York; D.L. Schrage, LANL, Los Alamos, New Mexico; T. Schultheiss, AES, Princeton, New Jersey; J.S. Sekutowicz, DESY, Hamburg; T. Siggins, T. Whitlach, M. Wiseman, Jefferson Lab, Newport News, Virginia; R. Wong, AES, Medford, NY; R.L. Wood, LANL, Los Alamos, New Mexico; K.-C. Wu, BNL, Upton, Long Island, New York; L.M. Young, TechSource, Santa Fe, New Mexico; A. Zaltsman, Y. Zhao, BNL, Upton, Long Island, New York","State-of-the-Art Electron Guns and Injector Designs for Energy Recovery Linacs (ERL)",
WPAP034,"H. Wang, W. Gai, K.-J. Kim, W. Liu, ANL, Argonne, Illinois","Positron Emulator for Commissioning ILC Positron Source",
WPAP035,"S. Wang, ANL, Argonne, Illinois","Emittance Compensation in Flat Beam Production in an RF Gun Linac",
WPAP036,"Z.M. Yusof, M.E. Conde, W. Gai, ANL, Argonne, Illinois","Determination of the Field Enhancement Factor on Photocathode Surface Via the Schottky Effect",
WPAP037,"D. Kayran, V. Litvinenko, BNL, Upton, Long Island, New York","Novel Method of Emittance Preservation in ERL Merging System in Presence of Strong Space Charge Forces",
WPAP038,"T. Rao, I. Ben-Zvi, A. Burrill, BNL, Upton, Long Island, New York; M.D. Cole, AES, Medford, NY; H. Hahn, D. Kayran, BNL, Upton, Long Island, New York; P. Kneisel, Jefferson Lab, Newport News, Virginia; Y. Zhao, BNL, Upton, Long Island, New York","Photoemission Studies on BNL/AES/JLab all Niobium, Superconducting RF Injector",
WPAP039,"J. Smedley, BNL, Upton, Long Island, New York; P. Kneisel, Jefferson Lab, Newport News, Virginia; J.L. Langner, The Andrzej Soltan Institute for Nuclear Studies, Centre Swierk, Swierk/Otwock; R.S. Lefferts, A.R. Lipski, SBUNSL, Stony Brook, New York; T. Rao, BNL, Upton, Long Island, New York; J.S. Sekutowicz, DESY, Hamburg; P. Strzyzewski, The Andrzej Soltan Institute for Nuclear Studies, Centre Swierk, Swierk/Otwock","Progress on Lead Photocathodes for Superconducting Injectors",
WPAP041,"R.P. Fliller, H. Edwards, Fermilab, Batavia, Illinois; W. Hartung, NSCL, East Lansing, Michigan","Time Dependent Quantum Efficiency and Dark Current Measurements in an RF Photocathode Injector with a High Quantum Efficiency Cathode",
WPAP042,"R.P. Fliller, T. G. Anderson, Fermilab, Batavia, Illinois; H. Bluem, AES, Princeton, New Jersey; H. Edwards, Fermilab, Batavia, Illinois; M. Huening, DESY, Hamburg; T. Schultheiss, AES, Medford, NY; C.K. Sinclair, Cornell University, Department of Physics, Ithaca, New York","Progress on Using NEA Cathodes in an RF Gun",
WPAP043,"J.L. Li, J.L. Li, Rochester University, Rochester, New York; P. Piot, R. Tikhoplav, Fermilab, Batavia, Illinois","Production of Transverse Controllable Laser Density Distribution in Fermilab/NICADD Photoinjector",
WPAP044,"M. Hess, C.S. Park, IUCF, Bloomington, Indiana","Advanced Electromagnetic Analysis for Electron Source Geometries",
WPAP045,"J.M. Grames, P. Adderley, J. Brittian, D. Charles, J. Clark, J. Hansknecht, M. Poelker, M.L. Stutzman, K.E.L. Surles-Law, Jefferson Lab, Newport News, Virginia","Ion Back-Bombardment of GaAs Photocathodes Inside DC High Voltage Electron Guns",
WPAP046,"R. Kazimi, J. F. Benesch, Y.-C. Chao, J.M. Grames, G.A. Krafft, M. Tiefenback, B.C. Yunn, Y. Zhang, Jefferson Lab, Newport News, Virginia","Injection Options for 12 GeV CEBAF Upgrade",
WPAP047,"P. Kneisel, Jefferson Lab, Newport News, Virginia; R.S. Lefferts, A.R. Lipski, SBUNSL, Stony Brook, New York; J.S. Sekutowicz, DESY, Hamburg","Preliminary Results from a Superconducting Photocathode Sample Cavity",
WPAP049,"R.A. Rimmer, Jefferson Lab, Newport News, Virginia","A High-Gradient CW RF Photo-Cathode Electron Gun for High Current Injectors",
WPAP050,"C. Hernandez-Garcia, S.V. Benson, D.B. Bullard, H.F.D. Dylla, K. Jordan, C. M. Murray, G. Neil, M.D. Shinn, T. Siggins, R.L. Walker, Jefferson Lab, Newport News, Virginia","A High Average Current DC GaAs Photocathode Gun for ERLs and FELs",
WPAP055,"J. Qiang, S.M. Lidia, LBNL, Berkeley, California; C. Limborg-Deprey, SLAC, Menlo Park, California; R.D. Ryne, LBNL, Berkeley, California","A 3D Parallel Beam Dynamics Code for Modeling High Brightness Beams in Photoinjectors",
WPAP057,"R. Bhatt, T. Bemis, C. Chen, MIT/PSFC, Cambridge, Massachusetts","Three-Dimensional Theory and Simulation of an Ellipse-Shaped Charged-Particle Beam Gun",
WPAP058,"A. Brachmann, J.E. Clendenin, E.G. Garwin, R.E. Kirby, D.-A.L. Luh, T.V.M. Maruyama, SLAC, Menlo Park, California; R.X.P. Prepost, UW-Madison/PD, Madison, Wisconsin; D.C. Schultz, J. Sheppard, SLAC, Menlo Park, California","The ILC Polarized Electron Source",
WPAT001,"V. Zviagintsev, I. Bylinskii, TRIUMF, Vancouver","HFSS Simulation of Vacuum Tube RF Power Amplifiers",
WPAT002,"P. Marchand, M.D. Diop, R.L. Lopes, J. Polian, F. Ribeiro, T. Ruan, SOLEIL, Gif-sur-Yvette","High Power (35 kW and 190 kW) 352 Solid State Amplifiers for the SOLEIL Synchrotron",
WPAT003,"M. Ebert, F.-R. Ullrich, DESY, Hamburg","Glycol-Substitute for High Power RF Water Loads",
WPAT004,"H. Liebermann, H. Podlech, U. Ratzinger, A.C. Sauer, IAP, Frankfurt-am-Main","Coupling Methods for Superconducting CH-Cavities",
WPAT005,"V.G. Vaccaro, Naples University Federico II, Mathematical, Physical and Natural Sciences Faculty, Napoli; T. Clauser, INFN-Bari, Bari; A. D'Elia, Naples University Federico II and INFN, Napoli; C. De Martinis, D. Giove, INFN-Milano, Milano; M.R. Masullo, INFN-Napoli, Napoli; M. Mauri, INFN/LASA, Segrate (MI); A. Rainò, V. Variale, INFN-Bari, Bari","A New Tuning Module for Resonant Coupling Structures",
WPAT006,"A. Gallo, D. Alesini, M. Bellaveglia, R. Boni, G. Di Pirro, F. Tazzioli, INFN/LNF, Frascati (Roma)","The SPARC RF Synchronization System",
WPAT007,"A. Schnase, JAERI/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; S. Anami, E. Ezura, K. Hara, KEK, Ibaraki; M. Nomura, JAERI/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; C. Ohmori, A. Takagi, KEK, Ibaraki; F. Tamura, M. Yamamoto, JAERI/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; M. Yoshii, KEK, Ibaraki","Control Loops for the J-PARC RCS Digital Low-Level RF Control",
