FRXBCH01,"K.J. Peach, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon","Novel Ideas and Ramp;D for High Intensity Neutrino Beams",
WEPKF083,"A.C. de Lira, P. Bellomo, SLAC, Menlo Park, California","SPEAR3 INTERMEDIATE DC MAGNET POWER SUPPLIES",
WEPKF084,"A.C. de Lira, P. Bellomo, SLAC, Menlo Park, California","SPEAR3 LARGE DC MAGNET POWER SUPPLIES",
WEPKF085,"P. He, BNL, Upton, Long Island, New York; B. Henrist, N. Hilleret, CERN, Geneva; H.-C. Hseuh, BNL, Upton, Long Island, New York; S. Kato, KEK, Ibaraki; R.E. Kirby, F. Le Pimpec, SLAC, Menlo Park, California; M. Nishiwaki, KEK, Ibaraki; M.T.F. Pivi, SLAC, Menlo Park, California; R. Todd, BNL, Upton, Long Island, New York","Secondary Electron Emission Measurements for TiN Coating on Stainless Steel of SNS Accumulator Ring Vacuum Chamber",
WEPKF086,"R. Palmer, J.S. Berg, BNL, Upton, Long Island, New York","A Model for Determining Dipole, Quadrupole and Combined Function Magnet Costs",
WEPKF087,"W. Zhang, BNL, Upton, Long Island, New York; R. Cutler, ORNL/SNS, Oak Ridge, Tennessee; H. Hahn, J.-L. Mi, C. Pai, BNL, Upton, Long Island, New York; K. Rust, ORNL/SNS, Oak Ridge, Tennessee; J. Sandberg, Y. Tan, N. Tsoupas, J. Tuozzolo, D.S. Warburton, J. Wei, BNL, Upton, Long Island, New York","SNS Extraction Fast Kicker Pulsed Power System",
WEPLT001,"Y.L. Martirosyan, M. Ivanyan, D.K. Kalantaryan, CANDLE, Yerevan","Nonlinear Beam Dynamics Study with MATLAB",
WEPLT002,"K.N. Sanosyan, M. Aghasyan, R.H. Mikaelyan, CANDLE, Yerevan; V.M. Vartanian, Stanford University, Stanford, Califormia","Shielding Design Study for CANDLE Facility",
WEPLT003,"V.A. Kvardakov, E. Levichev, A.I. Naumenkov, P.A. Piminov, BINP SB RAS, Novosibirsk","The Study of 2D Sextupole Coupling Resonances at VEPP-4M",
WEPLT005,"D. Kaltchev, TRIUMF, Vancouver","Building Truncated Taylor Maps with Mathematica and Applications to FFAG",
WEPLT006,"R.W. Assmann, E.B. Holzer, J.-B. Jeanneret, V. Kain, S. Redaelli, G. Robert-Demolaize, J. Wenninger, CERN, Geneva","Expected Performance and Beam-based Optimization of the LHC Collimation System",
WEPLT007,"S. Bartolome-Jimenez, G. Trinquart, CERN, Geneva","Installation of the LHC Experimental Insertions",
WEPLT008,"E. Benedetto, CERN, Geneva; G. Rumolo, GSI, Darmstadt; D. Schulte, F. Zimmermann, CERN, Geneva","Simulated Emittance Growth due to Electron Cloud for SPS and LHC",
WEPLT009,"E. Benedetto, F. Zimmermann, CERN, Geneva","Dynamics of the Electron Pinch and Incoherent Tune Shift Induced by Electron Cloud",
WEPLT010,"F.F. Bertinelli, CERN, Geneva; E. Boter, CELLS, Bellaterra (Cerdanyola del Vallès); G. Favre, L.M.A. Ferreira, S.J. Mathot, L. Rossi, F. Savary, CERN, Geneva","Design and Fabrication of Superfluid Helium Heat Exchanger Tubes for the LHC Superconducting Magnets",
WEPLT011,"C. Bertone, I. Ruehl, CERN, Geneva","Transport and Handling of LHC Components: a Permanent Challenge",
WEPLT012,"H. Burkhardt, G. Arduini, E. Benedetto, E. Métral, CERN, Geneva; G. Rumolo, GSI, Darmstadt","Observation of a Fast Single Bunch Transverse Instability on Protons in the SPS",
WEPLT013,"H. Burkhardt, D. Manglunki, M. Martini, F. Roncarolo, CERN, Geneva; G. Rumolo, GSI, Darmstadt","Investigation of Space Charge Effects and Intrabeam Scattering for Lead Ions in the SPS",
WEPLT014,"O. Capatina, K. Artoos, G. Huet, B. Nicquevert, CERN, Geneva","Mechanical Dynamic Load of the LHC Arc Cryo-magnets during the LHC Installation",
WEPLT015,"H. Damerau, R. Garoby, CERN, Geneva","Proposal for the Creation and Storage of Long Bunches in the LHC",
WEPLT016,"K. Foraz, B. Nicquevert, D. Tommasini, CERN, Geneva","Logistics of LHC Cryodipoles: from Simulation to Storage Management",
WEPLT017,"M. Giovannozzi, O.S. Brüning, S.D. Fartoukh, T. Risselada, F. Schmidt, CERN, Geneva","Numerical Studies of the Impact of the Separation Dipoles and Insertion Quadrupoles Field Quality on the Dynamic Aperture of the CERN LHC",
WEPLT018,"M. Giovannozzi, P. Scaramuzzi, CERN, Geneva","Nonlinear Dynamics Studies at the CERN Proton Synchrotron: Precise Measurements of Islands Parameters for the Novel Multi-turn Extraction",
WEPLT019,"T. Hakulinen, C. Andrews, B. Feral, P.-O. Friman, M. Mottier, T. Pettersson, C. Sorensen, E. Van Uytvinck, CERN, Geneva","Towards a Unified General Purpose CAD System at CERN",
WEPLT020,"C. Hauviller, S. Weisz, CERN, Geneva","Installation of A Particle Accelerator: from Theory to Practice. The LHC Example",
WEPLT021,"A. Jimeno Yepes, B. Rousseau, CERN, Geneva","Towards an Ontology Based Search Mechanism for the EDMS at CERN",
WEPLT022,"K. Kershaw, K. Artoos, O. Capatina, A.Y. Coin, M. Gielen, C. Hauviller, CERN, Geneva","Transport and Installation of Cryo-magnets in CERN's Large Hadron Collider Tunnel",
WEPLT023,"A. Koschik, F. Caspers, E. Métral, L. Vos, CERN, Geneva; B. Zotter, Honorary CERN Staff Member, Grand-Saconnex","Transverse Resistive Wall Impedance and Wake Function with Inductive Bypass",
WEPLT024,"L. Lari, H. Gaillard, V. Mertens, CERN, Geneva","Scheduling the Installation of the LHC Injection Lines",
WEPLT025,"P. Le Roux, S. Chemli, A. Jimeno Yepes, B. Maire, H. Prin, A. Vergara-Fernández, M. Zerlauth, CERN, Geneva","LHC Reference Database : Towards a Mechanical, Optical and Electrical Layout Database",
WEPLT026,"A.M. Lombardi, O.S. Brüning, S.D. Fartoukh, T. Risselada, F. Schmidt, A. Verdier, CERN, Geneva","Dynamic Aperture Reduction from the Dodecapole Component in the LHC Main Quadrupoles and its Mechanism.",
WEPLT027,"S. Marque, T. Colombet, M. Genet, B. Skoczen, CERN, Geneva","Connection Cryostats for LHC Dispersion Suppressors",
WEPLT028,"M. Martini, CERN, Geneva; C.R. Prior, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon","High-intensity and High-density Charge-exchange Injection Studies into the CERN PS Booster at Intermediate Energies",
WEPLT029,"E. Métral, C. Carli, CERN, Geneva; G. Franchetti, GSI, Darmstadt; M. Giovannozzi, CERN, Geneva; I. Hofmann, GSI, Darmstadt; M. Martini, CERN, Geneva; J. Qiang, LBNL, Berkeley, California; R.D. Ryne, LBNL/CBP, Berkeley, California; R.R. Steerenberg, CERN, Geneva","Intensity Dependent Emittance Transfer Studies at the CERN Proton Synchrotron",
WEPLT030,"E. Métral, F. Ruggiero, CERN, Geneva","Stability Diagrams for Landau Damping with Two-dimensional Betatron Tune Spread from Both Octupoles and Non-linear Space Charge applied to the LHC at Injection",
WEPLT031,"P. Ninin, L. Scibile, CERN, Geneva","The LHC Access Control System",
WEPLT033,"L. Scibile, D. Forkel-Wirth, H.G. Menzel, D. Perrin, G. Segura Millan, P. Vojtyla, CERN, Geneva","The LHC Radiation Monitoring System for the Environment and Safety",
WEPLT035,"E.N. Shaposhnikova, T. Bohl, T.P.R. Linnecar, J. Tuckmantel, CERN, Geneva","Capture Loss of the LHC Beam in the CERN SPS",
WEPLT036,"E.N. Shaposhnikova, T. Bohl, CERN, Geneva; A. Hofmann, Honorary CERN Staff Member, Grand-Saconnex; T.P.R. Linnecar, J. Tuckmantel, CERN, Geneva","Energy Loss of a Single Bunch in the CERN SPS",
WEPLT037,"J. Stowisek, R.M. Martini, P. Sollander, CERN, Geneva","A J2EE Solution for Technical Infrastructure Monitoring at CERN",
WEPLT038,"P. Urschütz, M. Benedikt, C. Carli, M. Chanel, F. Schmidt, CERN, Geneva","Betatron Resonance Studies at the CERN PS Booster by Harmonic Analysis of Turn-by-turn Beam Position Data",
WEPLT039,"P. Urschütz, CERN, Geneva","Measurement and Compensation of Second and Third Order Resonances at the CERN PS Booster",
WEPLT040,"A. Vergara-Fernández, S. Chemli, CERN, Geneva; A. Kournossenko, IHEP Protvino, Protvino, Moscow Region; B. Maire, Y. Muttoni, CERN, Geneva; R. Zalyalov, IHEP Protvino, Protvino, Moscow Region","Layout Drawings of the LHC Collider",
WEPLT041,"E. Vogel, T. Bohl, U. Wehrle, CERN, Geneva","RF Amplitude Modulation to Suppress Longitudinal Coupled Bunch Instabilities in the SPS",
WEPLT042,"S. Weisz, K. Foraz, H. Gaillard, L. Lari, CERN, Geneva","Scheduling the Installation of the Large Hadron Collider",
WEPLT043,"M. Zerlauth, B. Goddard, V. Kain, R. Schmidt, CERN, Geneva","Detecting Failures in Electrical Circuits Leading to Very Fast Beam Losses in the LHC",
WEPLT044,"F. Zimmermann, G. Arduini, V. Baglin, T. Bohl, B.J. Jenninger, J.M. Jimenez, J.-M. Laurent, F. Ruggiero, D. Schulte, CERN, Geneva","Electron-cloud Build-up Simulations and Experiments at CERN",
WEPLT045,"F. Zimmermann, J.-P. Koutchouk, J. Wenninger, CERN, Geneva","Experiments on LHC Long-range Beam-beam Compensation in the CERN SPS",
WEPLT046,"F. Zimmermann, G. Arduini, C. Carli, CERN, Geneva","Localizing Impedance Sources from Betatron-phase Beating in the CERN SPS",
WEPLT047,"A. Adelmann, PSI, Villigen; J. Amundson, Fermilab, Batavia, Illinois; J. Qiang, R.D. Ryne, LBNL/CBP, Berkeley, California; P. Spentzouris, Fermilab, Batavia, Illinois","A Test Suite of Space-charge Problems for Code Benchmarking",
WEPLT048,"A. Adelmann, S. Adam, R. Dölling, M. Pedrozzi, J.-Y. Raguin, P. Schmelzbach, PSI, Villigen","Beam Dynamic Studies of the 72 MeV Beamline with a 'Super Buncher'",
WEPLT049,"B. Kalantari, T. Korhonen, PSI, Villigen","Timekeeping Mechanism at SLS/APS Control System",
WEPLT050,"P. Kuske, O. Dressler, BESSY GmbH, Berlin","Frequency Map Measurements at BESSY",
WEPLT051,"G. Wustefeld, J. Feikes, K. Holldack, P. Kuske, BESSY GmbH, Berlin","Sub-Picosecond Electron Bunches in the BESSY Storage Ring",
WEPLT052,"F. Franchi, T. Beier, M. Kirk, M. Moritz, G. Rumolo, GSI, Darmstadt; R. Tomas, BNL, Upton, Long Island, New York","A Method to Measure the Skew Quadrupole Strengths in the SIS-18 using Two BPMs",
WEPLT053,"I. Hofmann, G. Franchetti, GSI, Darmstadt; J. Qiang, R.D. Ryne, LBNL/CBP, Berkeley, California","Dynamical Effects of the Montague Resonance",
WEPLT054,"G. Rumolo, GSI, Darmstadt; G. Bellodi, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon; K. Ohmi, KEK, Ibaraki; F. Zimmermann, CERN, Geneva","Electron Cloud Build up in Coasting Beams",
WEPLT055,"M. Steck, K. Beckert, P. Beller, B. Franzke, F. Nolden, GSI, Darmstadt","Observation of Ultracold Heavy Ion Beams with Micrometer Size by Scraping",
WEPLT056,"M. Steck, K. Beckert, P. Beller, A. Dolinskii, B. Franzke, F. Nolden, GSI, Darmstadt; V.V. Parkhomchuk, V.B. Reva, A.N. Skrinsky, V.A. Vostrikov, BINP SB RAS, Novosibirsk","An Electron Cooling System for the Proposed HESR Antiproton Storage Ring",
WEPLT057,"A. Dolinskii, O. Boine-Frankenheim, GSI, Darmstadt; A. Bolshakov, ITEP, Moscow; B. Franzke, GSI, Darmstadt; A.O. Sidorin, JINR, Dubna, Moscow Region; M. Steck, GSI, Darmstadt; G.V. Troubnikov, JINR, Dubna, Moscow Region; P. Zenkevich, ITEP, Moscow","Simulation Results on Cooling Times and Equilibrium Parameters for Antiproton Beams at the HESR",
WEPLT058,"G. Franchetti, A. Orzhekovskaya, GSI, Darmstadt","A Space Charge Algorithm for Ellipsoidal Bunches with Arbitrary Beam Size and Particle Distribution",
WEPLT059,"G. Franchetti, I. Hofmann, GSI, Darmstadt","Beam Loss Modeling for the SIS100",
WEPLT060,"G. Franchetti, GSI, Darmstadt; M. Aslaninejad, IPM, Tehran; I. Hofmann, GSI, Darmstadt","Linear Coupling Theory of High Intensity Beams",
WEPLT061,"S. Setzer, W. Ackermann, S. Schnepp, T. Weiland, TEMF, Darmstadt","Influence of Beam Tube Obstacles on the Emittance of the PITZ Photoinjector",
WEPLT062,"I. Zagorodnov, TEMF, Darmstadt; M. Dohlus, DESY, Hamburg; T. Weiland, TEMF, Darmstadt","Wakefield Calculations for TTF-II",
WEPLT063,"R.G. Heine, P. Hartmann, H. Huck, G. Schmidt, T. Weis, DELTA, Dortmund","Investigation of Cavity Induced Longitudinal Coupled Bunch Mode Instability Behaviour and Mechanisms",
WEPLT064,"M. Vogt, DESY, Hamburg","2-nd Order Sextupole Effects on the Dynamic Aperture in HERA-e",
WEPLT065,"J.-P. Jensen, B. Conrad, U. Schuetz, F.-R. Ullrich, A. Wanning, DESY, Hamburg","Hybrid Dry Coolers in Cooling Systems of High Energy Physics Accelerators",
WEPLT066,"Y.L. Li, K. Balewski, W. Decking, DESY, Hamburg","Beam Dynamics Study for PETRA III Including Damping Wigglers",
WEPLT067,"N.E. Vasyukhin, R. Maier, Y. Senichev, FZJ/IKP, Jülich","Space Charge Problem in Low Energy Super-conducting Accelerator",
WEPLT068,"A.-S. Müller, A. Ben Kalefa, I. Birkel, E. Huttel, M. Pont, F. Pérez, FZK-ISS-ANKA, Karlsruhe","Momentum Compaction Factor and Nonlinear Dispersion at the ANKA Storage Ring",
WEPLT069,"A.-S. Müller, I. Birkel, E. Huttel, M. Pont, F. Pérez, FZK-ISS-ANKA, Karlsruhe; F. Zimmermann, CERN, Geneva","Investigation of Scraper Induced Wake Fields at ANKA",
WEPLT070,"A.-S. Müller, I. Birkel, E. Huttel, M. Pont, F. Pérez, FZK-ISS-ANKA, Karlsruhe; F. Zimmermann, CERN, Geneva","Studies of Current Dependent Effects at ANKA",
WEPLT071,"P. Bertrand, GANIL, Caen","Longitudinal Resonances and Emittance Growth Using QWR/HWR in a Linac",
WEPLT072,"M. Di Giacomo, GANIL, Caen; J.F. Denis, M. Desmons, CEA/DSM/DAPNIA, Gif-sur-Yvette; B. Ducoudret, J.F. Leyge, GANIL, Caen; M. Luong, A. Mosnier, CEA/DSM/DAPNIA, Gif-sur-Yvette","Preliminary Design of the RF Systems for the SPIRAL 2 SC Linac",
WEPLT073,"A. Hamdi, CEA/Saclay, Gif-sur-Yvette; M. Luong, CEA/DSM/DAPNIA, Gif-sur-Yvette; M. Werner, DESY, Hamburg","VDHL Design and Simulation of a Fast Beam Loss Interlock for TTF2",
WEPLT075,"R. Duperrier, CEA/DSM/DAPNIA, Gif-sur-Yvette; P. Bertrand, GANIL, Caen; J.-L. Biarrotte, IPN, Orsay; J.-M. De Conto, ISN, Grenoble; E. Froidefond, LPSC, Grenoble; N. Pichoff, CEA/DAM, Bruyères-le-Châtel; D. Uriot, CEA/DSM/DAPNIA, Gif-sur-Yvette; F. Varenne, GANIL, Caen","Status Report on the Beam Dynamics Developments for the SPIRAL 2 Project",
WEPLT076,"R. Ferdinand, G. Congretel, A. Curtoni, O.D. Delferriere, CEA/DSM/DAPNIA, Gif-sur-Yvette; M. Di Giacomo, GANIL, Caen; A. France, D.L. Leboeuf, J. Thinel, J.-C. Toussaint, CEA/DSM/DAPNIA, Gif-sur-Yvette","SPIRAL 2 RFQ Design",
WEPLT077,"M. Luong, M. Desmons, CEA/DSM/DAPNIA, Gif-sur-Yvette","DESIGN OF A FULL-CUSTOM ACCURATE I-Q MODULATOR",
WEPLT078,"D. Uriot, R. Duperrier, J. Payet, CEA/DSM/DAPNIA, Gif-sur-Yvette","The IFMIF High Energy Beam Transport Line",
WEPLT079,"P. Brunelle, A. Loulergue, A. Nadji, L.S. Nadolski, SOLEIL, Gif-sur-Yvette","Non Linear Beam Dynamics and Lifetime on the SOLEIL Storage Ring",
WEPLT080,"R. Nagaoka, SOLEIL, Gif-sur-Yvette","Study of Resistive-wall Effects on SOLEIL",
WEPLT081,"R. Nagaoka, SOLEIL, Gif-sur-Yvette","Numerical Evaluation of Geometric Impedance for SOLEIL",
WEPLT082,"M.-A. Tordeux, J. Da Silva, P. Feret, P. Gros, P. Lebasque, A. Mary, SOLEIL, Gif-sur-Yvette","General Performances of the Injection Scheme into the SOLEIL Storage Ring",
WEPLT083,"T.F. Günzel, ESRF, Grenoble","Coherent and Incoherent Tune Shifts Deduced from Impedance Modelling in the ESRF-Ring",
WEPLT084,"Y. Papaphilippou, L. Farvacque, ESRF, Grenoble; J. Laskar, IMCCE, Paris; E. Plouviez, J.-L. Revol, A. Ropert, ESRF, Grenoble; Ch. Skokos, Academy of Athens, Athens","Experimental Frequency Maps for the ESRF Storage Ring",
WEPLT085,"T. Perron, L. Farvacque, E. Plouviez, ESRF, Grenoble","Vertcal Effective Impedance Mapping of the ESRF Storage Ring",
WEPLT086,"N. Cufaro Petroni, INFN-Bari, Bari; S. De Martino, S. De Siena, F. Illuminati, Universita' degli Studi di Salerno, Dipartimento di Fisica E.R. Caianiello, Baronissi","Non Gaussien Transverse Distributions in a Stochastic Model for Beam Halos",
WEPLT090,"S. Di Mitri, L. Tosi, ELETTRA, Basovizza, Trieste","Nonlinear Evolution of the Beam in Phase Space at Elettra",
WEPLT091,"S. Di Mitri, ELETTRA, Basovizza, Trieste; L.G. Liu, SSRF, Shanghai; L. Tosi, ELETTRA, Basovizza, Trieste","Frequency Map Analysis with the Insertion Devices at ELETTRA",
WEPLT092,"S. Petracca, T. Demma, U. Sannio, Benevento; K. Hirata, GUAS, Kanagawa","Equilibrium Longitudinal Distribution for Localized Regularized Inductive Wake",
WEPLT093,"S. Petracca, L. Cappetta, T. Demma, U. Sannio, Benevento","Electromagnetic Fields of an Off-axis Bunch in a Circular Pipe with Finite Conductivity and Thickness - I",
WEPLT094,"S. Petracca, L. Cappetta, U. Sannio, Benevento; R.P. Croce, Universita' degli Studi di Salerno, Dipartimento di Fisica E.R. Caianiello, Baronissi; T. Demma, U. Sannio, Benevento","Electromagnetic Fields of an Off-axis Bunched Beam in a Circular Pipe with Finite Conductivity and Thickness - II",
WEPLT095,"S. Petracca, T. Demma, U. Sannio, Benevento","Modified Polarizabilities and Wall Impedance for Shielded Perforated Beam Pipes with General Shape",
WEPLT097,"D. Alesini, F. Marcellini, INFN/LNF, Frascati (Roma)","Beam Loading in the RF Deflector of the CTF3 Delay Loop",
WEPLT098,"L. Pellegrino, INFN/LNF, Frascati (Roma)","Experience with Long Term Operation with Demineralized Water Systems at DAFNE",
WEPLT100,"M. Cavenago, INFN/LNL, Legnaro, Padova; G. Bettega, F. Cavaliere, A. Illiberi, R. Pozzoli, M. Romé, L. Serafini, INFN-Milano, Milano","Planar Electron Sources and the Electron Trap ELTRAP",
WEPLT101,"A. Facco, E. Bissiato, S. Canella, D. Carlucci, M. Lollo, F. Scarpa, D. Zenere, INFN/LNL, Legnaro, Padova","On-line Mechanical Instabilities Measurements and Tuner Development in SC Low-beta Resonators",
WEPLT102,"K. Noda, T. Furukawa, T. Honma, NIRS, Chiba-shi; T. Iwashima, AEC, Chiba; I.N. Meshkov, JINR, Dubna, Moscow Region; S. Ninomiya, RCNP, Osaka; S. Shibuya, NIRS, Chiba-shi; E. Syresin, JINR, Dubna, Moscow Region; D. Tan, T. Uesugi, NIRS, Chiba-shi","Electron Cooling Experiments at HIMAC Synchrotron",
WEPLT103,"T. Bizen, JASRI/SPring-8, Hyogo; Y. Asano, JAERI/SPring-8, Hyogo; T. Hara, RIKEN Spring-8 Harima, Hyogo; D.E. Kim, PAL, Pohang; H. Kitamura, RIKEN Spring-8 Harima, Hyogo; H.S. Lee, PAL, Pohang; X. Maréchal, T. Seike, JASRI/SPring-8, Hyogo; T. Tanaka, RIKEN Spring-8 Harima, Hyogo","Radiation Damage in Magnets for Undulators at Low Temperature",
WEPLT105,"T. Ieiri, Y. Funakoshi, T. Kawamoto, M. Masuzawa, M. Tawada, M. Tobiyama, S.S. Win, KEK, Ibaraki","Beam-Beam Effects Measured Using Gated Monitors at KEKB",
WEPLT106,"T. Miyajima, Y. Kobayashi, S. Nagahashi, KEK, Ibaraki","Growth and Suppression Time of an Ion-related Vertical Instability",
WEPLT107,"A.Y. Molodojentsev, S. Machida, Y. Mori, KEK, Ibaraki","Nonlinear field Effects in the JPARC Main Ring",
WEPLT108,"K. Ohmi, S. Kamada, K. Oide, M. Tawada, KEK, Ibaraki","Diffusion caused by Beam-beam Interactions with Couplings",
WEPLT109,"K. Ohmi, KEK, Ibaraki; G. Rumolo, GSI, Darmstadt; T. Toyama, KEK, Ibaraki","Simulation of Ep Instability for a Coasting Proton Beam in Circular Accelerators",
WEPLT110,"Y. Shimosaki, KEK, Ibaraki; K. Horioka, TIT, Yokohama; K. Koseki, GUAS/AS, Ibaraki; M. Nakajima, TIT, Yokohama; E. Nakamura, K. Takayama, KEK, Ibaraki; K. Torikai, Kyushu University, Fukuoka; T. Toyama, KEK, Ibaraki; M. Watanabe, RIKEN, Saitama","Specific Beam Dynamics in Super-bunch Acceleration",
WEPLT113,"S. Takeda, KEK, Ibaraki","Development of New Hydrostatic Levelling Equipment for Large Next Generation Accelerator",
WEPLT114,"J. Takano, RIKEN, Saitama; R. Alforque, R. Belkin, G. Ganetis, BNL, Upton, Long Island, New York; T. Hattori, RLNR, Tokyo; A.K. Jain, W.W. MacKay, BNL, Upton, Long Island, New York; M. Okamura, RIKEN, Saitama; T. Roser, R. Thomas, J. Tuozzolo, BNL, Upton, Long Island, New York","Field Measurements in the AGS Warm Snake",
WEPLT115,"M. Aiba, University of Tokyo, Tokyo; S. Machida, Y. Mori, KEK, Ibaraki","A Study of Transverse Resonance Crossing in FFAG",
WEPLT116,"T. Shirai, H. Fadil, S. Fujimoto, Kyoto ICR, Uji, Kyoto; T. Fujimoto, H. Fujiwara, NIRS, Chiba-shi; M. Grieser, MPI-K, Heidelberg; M. Ikegami, A. Noda, Kyoto ICR, Uji, Kyoto; K. Noda, NIRS, Chiba-shi; H. Okamoto, HU/AdSM, Higashi-Hiroshima; S. Shibuya, NIRS, Chiba-shi; E. Syresin, JINR, Dubna, Moscow Region; T. Takeuchi, NIRS, Chiba-shi; M. Tanabe, H. Tongu, Kyoto ICR, Uji, Kyoto; Y. Yuri, HU/AdSM, Higashi-Hiroshima","Lattice Design and Cooling Simulation at S-LSR",
WEPLT117,"E.-S. Kim, PAL, Pohang; J.-K. Ahn, J.-S. Cho, Pusan National University, Pusan; M.-H. Chun, H.-G. Kim, K.-R. Kim, I.-S. Park, Y.-U. Sohn, J.S. Yang, PAL, Pohang","Design of a Third Harmonic Superconducting RF System at PLS",
WEPLT118,"S.B. van der Geer, G.J.H. Brussaard, O.J. Luiten, TUE, Eindhoven; G. Pöplau, Rostock University, Faculty of Engineering, Rostock; M.J. Van der Wiel, TUE, Eindhoven; M.J. de Loos, PP, Soest","Performance of the TU/e 2.6 Cell Rf-photogun in the 'Pancake' Regime",
WEPLT119,"J.Q. Wang, Z.Y. Guo, Y.D. Liu, Q. Qin, Z. Zhao, D.M. Zhou, IHEP Beijing, Beijing","Beam Instabilitiy Studies of BEPC and BEPCII",
WEPLT120,"J. Chen, C.-K. Chang, K.-T. Hsu, K.H. Hu, C.H. Kuo, C.-J. Wang, NSRRC, Hsinchu","Control Environment for the Superconducting Insertion Devices at NSRRC",
WEPLT121,"T.-S. Ueng, NSRRC, Hsinchu; A. Chao, SLAC, Menlo Park, California; C.-C. Kuo, H.-J. Tsai, NSRRC, Hsinchu","Computer Simulation of Equilibrium Electron Beam Distribution in the Proximity of 4th Order Single Nonlinear Resonance",
